Date,Year,Reporter,Email,Location,Description,Longitude,Latitude,Count
"2025-04-07T16:32:38.094Z","2021","David Thompson","david.thompson218@aol.com","900 3rd Street","3rd St by US 52","-80.291496","36.066711","7"
"2025-04-07T16:32:38.094Z","2023","Jessica Thompson","jessica.thompson726@yahoo.com","1400 S. Stratford Road","Stratford Rd near Healy Dr","-80.309784","36.131260","21"
"2025-04-07T16:32:38.095Z","2021","Sarah Williams","sarah.williams618@hotmail.com","3637 Patterson Ave","Patterson beside DMV","-80.226626","36.057794","25"
"2025-04-07T16:32:38.096Z","2024","David Jones","david.jones817@hotmail.com","702 N. Cherry Street","Day Care on Cherry St","-80.210524","36.108793","5"
"2025-04-07T16:32:38.097Z","2022","Jessica Anderson","jessica.anderson786@outlook.com","2551 Peter Creek Pkwy","Peters Creek","-80.336037","36.110381","6"
"2025-04-07T16:32:38.098Z","2021","Elizabeth Johnson","elizabeth.johnson619@yahoo.com","150 Marshall Street","Truist Building","-80.274805","36.062711","13"
"2025-04-07T16:32:38.099Z","2024","James Moore","james.moore290@outlook.com","201 W. 5th Street","Downtown area","-80.252440","36.075917","14"
"2025-04-07T16:32:38.099Z","2021","Elizabeth Rodriguez","elizabeth.rodriguez375@yahoo.com","320 E. Hanes Mill Road","Hanes Mill area","-80.192185","36.084651","5"
"2025-04-07T16:32:38.100Z","2021","Betty Johnson","betty.johnson602@aol.com","301 Cemetery Street","Cemetery St","-80.322620","36.136764","25"
"2025-04-07T16:32:38.101Z","2020","Mary Davis","mary.davis827@aol.com","445 Patterson Ave","Bailey Park","-80.287546","36.048763","16"
"2025-04-07T16:32:38.103Z","2022","Linda Miller","linda.miller895@outlook.com","4095 Liberty Street /650 4th Street","the parking decks downtown","-80.268513","36.114943","21"
"2025-04-07T16:32:38.103Z","2023","Patricia Anderson","patricia.anderson404@gmail.com","513 Jonestown Road","Waffle House Jonestown","-80.270945","36.051924","17"
"2025-04-07T16:32:38.104Z","2024","Michael Garcia","michael.garcia962@hotmail.com","3024 Konnoak Drive","Konnoak Dr @ Flow","-80.255737","36.144940","22"
"2025-04-07T16:32:38.104Z","2025","William White","william.white658@outlook.com","513 Jonestown Road","Jonestown","-80.284568","36.127410","25"
"2025-04-07T16:32:38.105Z","2022","Patricia Thompson","patricia.thompson633@yahoo.com","320 E. Hanes Mill Road","Hanes Mill area","-80.238645","36.078837","9"
"2025-04-07T16:32:38.106Z","2023","David Johnson","david.johnson951@aol.com","3197 Peters Creek pkwy","Peters Creek Pkwy","-80.265781","36.081561","8"
"2025-04-07T16:32:38.106Z","2022","Michael Thomas","michael.thomas656@outlook.com","320 E. Hanes Mill Road","Hanes Mill area","-80.287440","36.123414","7"
"2025-04-07T16:32:38.107Z","2022","Michael Davis","michael.davis871@hotmail.com","2604 Raleigh Ave","2604 Raleigh Ave (abando House)","-80.200911","36.159432","24"
"2025-04-07T16:32:38.108Z","2022","Sandra Anderson","sandra.anderson270@aol.com","702 N. Cherry Street","Cherry St","-80.320890","36.120762","7"
"2025-04-07T16:32:38.109Z","2025","Lisa Garcia","lisa.garcia940@gmail.com","1790 Quarry Road","Quarry Park / Salem Visitation Center","-80.324311","36.086388","4"
"2025-04-07T16:32:38.109Z","2022","Nancy Martin","nancy.martin511@hotmail.com","2300 Patterson Ave","Patterson and Glenn","-80.330275","36.040831","18"
"2025-04-07T16:32:38.110Z","2020","John Davis","john.davis58@outlook.com","2985 Failawn Drive","Van near Reynolda and Fairlawn","-80.268435","36.150903","15"
"2025-04-07T16:32:38.110Z","2025","Betty Wilson","betty.wilson241@outlook.com","201 N. 5th Street","Downtonw area","-80.320045","36.135852","3"
"2025-04-07T16:32:38.111Z","2020","Elizabeth Martinez","elizabeth.martinez679@hotmail.com","320 E. Hanes Mill Road","Hanes Mall area","-80.311182","36.086166","8"
"2025-04-07T16:32:38.111Z","2024","Michael Smith","michael.smith316@yahoo.com","2300 Patterson Ave","Patterson and Glenn","-80.320359","36.090100","3"
"2025-04-07T16:32:38.114Z","2025","Margaret Johnson","margaret.johnson127@yahoo.com","2300 Patterson Ave","Patterson and Glenn","-80.257648","36.069243","5"
"2025-04-07T16:32:38.114Z","2025","Lisa Smith","lisa.smith799@hotmail.com","1 Medical Center Blvd","Silas Crek @ I-40","-80.252173","36.112212","7"
"2025-04-07T16:32:38.115Z","2025","Nancy Moore","nancy.moore718@hotmail.com","320 E. Hanes Mill Road","Hanes Mill Area","-80.250247","36.089198","12"
"2025-04-07T16:32:38.115Z","2020","Jessica Davis","jessica.davis611@gmail.com","550 Martin Luther King Blvd","Car MLK area","-80.219933","36.101095","17"
"2025-04-07T16:32:38.116Z","2024","Robert Rodriguez","robert.rodriguez763@gmail.com","2527 Pittsburg Ave","Car on Pittsborough","-80.329165","36.147842","1"
"2025-04-07T16:32:38.116Z","2020","James Davis","james.davis125@aol.com","2300 Patterson Ave","Patterson and Glenn","-80.234300","36.130684","23"
"2025-04-07T16:32:38.117Z","2021","David Garcia","david.garcia766@aol.com","320 E. Hanes Mill Road","Hanes Mill Area","-80.326646","36.109333","17"
"2025-04-07T16:32:38.117Z","2023","John Thompson","john.thompson863@hotmail.com","3475 Parkway Village Ct.","Walmart Peters Creek","-80.229063","36.130094","12"
"2025-04-07T16:32:38.118Z","2021","Elizabeth Taylor","elizabeth.taylor745@aol.com","5034 Raven Road","Car at Sheetz","-80.191641","36.094479","7"
"2025-04-07T16:32:38.119Z","2020","Jennifer Williams","jennifer.williams553@hotmail.com","201 N. 5th Street","Downtown area","-80.339437","36.151017","25"
"2025-04-07T16:32:38.119Z","2020","Susan Jones","susan.jones913@outlook.com","4170 Patterson Ave","Patterson @ 52","-80.241569","36.099121","4"
"2025-04-07T16:32:38.120Z","2025","Susan Williams","susan.williams19@yahoo.com","3475 Parkway Village Ct.","Walmart Peters Creek","-80.337080","36.064815","19"
"2025-04-07T16:32:38.120Z","2025","John Anderson","john.anderson299@gmail.com","3011 Patteron Ave","Ivy/Patterson area","-80.271466","36.092825","23"
"2025-04-07T16:32:38.120Z","2021","Karen Smith","karen.smith312@yahoo.com","2008 Queen Street","Bennett Center","-80.217452","36.105288","1"
"2025-04-07T16:32:38.121Z","2021","David Davis","david.davis986@aol.com","900 3rd Street","3rd St by US 52","-80.215442","36.072007","21"
"2025-04-07T16:32:38.121Z","2023","Jennifer Johnson","jennifer.johnson450@yahoo.com","937 West Street","Granville Park","-80.243872","36.076801","21"
"2025-04-07T16:32:38.123Z","2024","Mary Harris","mary.harris414@aol.com","605 Effrid Street","Car on Effrid & 24th st","-80.318658","36.089662","21"
"2025-04-07T16:32:38.124Z","2022","Jennifer Johnson","jennifer.johnson291@outlook.com","2806 University Pkwy","Car on University","-80.300199","36.150189","6"
"2025-04-07T16:32:38.124Z","2024","Betty Williams","betty.williams67@hotmail.com","2800 Reynolda Road","Abando on Reynolda","-80.218422","36.110354","2"
"2025-04-07T16:32:38.125Z","2022","David White","david.white321@yahoo.com","2274 Winterberry Drive","Shed 2274 Winterberry Dr","-80.329190","36.071767","9"
"2025-04-07T16:32:38.125Z","2022","Susan Johnson","susan.johnson884@aol.com","4170 Patterson Ave","Patterson @ Germanton","-80.295180","36.137379","14"
"2025-04-07T16:32:38.126Z","2023","Michael Davis","michael.davis204@outlook.com","3775 Oxford Station Way","Hanes Mall Blvd by Conns","-80.302419","36.108233","5"
"2025-04-07T16:32:38.126Z","2021","Karen Garcia","karen.garcia397@outlook.com","2973 Fairlawn Drive","Farilawn - Silas Creek","-80.234957","36.083392","23"
"2025-04-07T16:32:38.127Z","2025","John Moore","john.moore51@outlook.com","701 N. Liberty Street","In her car various areas","-80.273835","36.088688","7"
"2025-04-07T16:32:38.130Z","2021","Patricia Miller","patricia.miller348@hotmail.com","320 E. Hanes Mill Road","Hanes Mill","-80.204953","36.072852","3"
"2025-04-07T16:32:38.130Z","2021","Patricia Miller","patricia.miller283@aol.com","3475 Pkwy Village Ct","Walmart Peters Creek","-80.197610","36.044957","16"
"2025-04-07T16:32:38.131Z","2020","Jessica Wilson","jessica.wilson37@gmail.com","625 W. 6th Street","Behind Crystal Towers","-80.298631","36.079139","11"
"2025-04-07T16:32:38.132Z","2021","Sarah Anderson","sarah.anderson790@aol.com","3475 Pkwy Village Ct","Walmart Peters Creek","-80.257369","36.139932","7"
"2025-04-07T16:32:38.132Z","2020","Susan Miller","susan.miller863@aol.com","3475 Pkwy Village Ct","Walmart Peters Creek","-80.256704","36.150361","25"
"2025-04-07T16:32:38.133Z","2024","Linda Miller","linda.miller307@outlook.com","2700 Peters Creek Pkwy","Brewer Rd behind BP","-80.200648","36.112231","20"
"2025-04-07T16:32:38.134Z","2021","Lisa Johnson","lisa.johnson93@gmail.com","3320 Silas Creek Pkwy","Park off Stratford","-80.213758","36.135725","1"
"2025-04-07T16:32:38.135Z","2022","Nancy Miller","nancy.miller979@aol.com","527 N. Cherry Street","Cherry St","-80.260088","36.072600","18"
